textbox89,textbox9856,textbox25
Sélectionnez une période,01/04/2026 - 30/04/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
CONTINENTAL,,,73,"34,6 %","-41,6 %",-52,,7 666,"-23,8 %",-2 400,,"-419,47","-5,47%",1 117,"14,57%",PREMIUM,,,115,"54,5 %","-32,0 %",-54,,13 320,"-15,1 %",-2 368,,"192,27","1,44%",1 839,"13,81%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
GOODYEAR,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,115,"54,5 %","-32,0 %",-54,,13 320,"-15,1 %",-2 368,,"192,27","1,44%",1 839,"13,81%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
MICHELIN,,,38,"18,0 %","-9,5 %",-4,,4 885,"-10,0 %",-545,,"565,87","11,58%",648,"13,26%",PREMIUM,,,115,"54,5 %","-32,0 %",-54,,13 320,"-15,1 %",-2 368,,"192,27","1,44%",1 839,"13,81%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
PIRELLI,,,4,"1,9 %","0,0 %",4,,770,"0,0 %",770,,"45,87","5,96%",75,"9,72%",PREMIUM,,,115,"54,5 %","-32,0 %",-54,,13 320,"-15,1 %",-2 368,,"192,27","1,44%",1 839,"13,81%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
AUTRE,,,10,"4,7 %","150,0 %",6,,898,"200,8 %",599,,"66,60","7,42%",67,"7,42%",MEDIUM,,,72,"34,1 %","-2,7 %",-2,,6 047,"-4,4 %",-278,,"354,59","5,86%",954,"15,78%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
FEU VERT,,,40,"19,0 %","-13,0 %",-6,,2 928,"-16,5 %",-580,,"406,23","13,87%",754,"25,76%",MEDIUM,,,72,"34,1 %","-2,7 %",-2,,6 047,"-4,4 %",-278,,"354,59","5,86%",954,"15,78%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
HANKOOK,,,12,"5,7 %","-50,0 %",-12,,1 521,"-39,6 %",-998,,"-127,31","-8,37%",76,"4,99%",MEDIUM,,,72,"34,1 %","-2,7 %",-2,,6 047,"-4,4 %",-278,,"354,59","5,86%",954,"15,78%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
NEXEN,,,10,"4,7 %","0,0 %",10,,701,"0,0 %",701,,"9,07","1,29%",57,"8,20%",MEDIUM,,,72,"34,1 %","-2,7 %",-2,,6 047,"-4,4 %",-278,,"354,59","5,86%",954,"15,78%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
AUTRE,,,6,"2,8 %","200,0 %",4,,333,"329,9 %",256,,"70,83","21,26%",80,"24,02%",BUDGET,,,24,"11,4 %","-54,7 %",-29,,1 048,"-53,2 %",-1 191,,"131,78","12,57%",154,"14,71%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
ROVELO,,,10,"4,7 %","-56,5 %",-13,,392,"-56,7 %",-513,,"60,44","15,42%",60,"15,42%",BUDGET,,,24,"11,4 %","-54,7 %",-29,,1 048,"-53,2 %",-1 191,,"131,78","12,57%",154,"14,71%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"
TRACMAX,,,8,"3,8 %","-71,4 %",-20,,323,"-74,3 %",-934,,"0,51","0,16%",14,"4,25%",BUDGET,,,24,"11,4 %","-54,7 %",-29,,1 048,"-53,2 %",-1 191,,"131,78","12,57%",154,"14,71%",,211,"-28,7 %",-85,,20 416,"-15,8 %","-3 837,09",,"678,64","3,32%",2 948,"14,44%"

marque2,Obj2,pdm6,real2,PdmReal2,Textbox307,textbox189,Textbox101,G2,Textbox77,textbox256,I2,JI4,Textbox99,J2,Textbox3,categorie2,textbox191,textbox286,Greal2,textbox193,Textbox309,textbox194,Textbox102,GG2,Textbox80,textbox268,GI2,GJI4,Textbox104,GJ2,Textbox5,textbox33,totalReal2,Textbox310,textbox195,Textbox105,TG2,Textbox81,textbox260,TI2,TJI4,Textbox276,TJ2,Textbox6
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,60,"58,3 %","-13,0 %",-9,,5 050,"-16,3 %",-980,,"-378,19","-7,49%",388,"7,68%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"
CONTINENTAL,,,56,"54,4 %","3,7 %",2,,4 524,"2,6 %",116,,"-440,65","-9,74%",317,"7,00%",PREMIUM,,,60,"58,3 %","-13,0 %",-9,,5 050,"-16,3 %",-980,,"-378,19","-7,49%",388,"7,68%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"
GOODYEAR,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,60,"58,3 %","-13,0 %",-9,,5 050,"-16,3 %",-980,,"-378,19","-7,49%",388,"7,68%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"
MICHELIN,,,4,"3,9 %","-73,3 %",-11,,526,"-67,6 %",-1 096,,"62,46","11,88%",71,"13,56%",PREMIUM,,,60,"58,3 %","-13,0 %",-9,,5 050,"-16,3 %",-980,,"-378,19","-7,49%",388,"7,68%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"
PIRELLI,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,60,"58,3 %","-13,0 %",-9,,5 050,"-16,3 %",-980,,"-378,19","-7,49%",388,"7,68%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"
AUTRE,,,2,"1,9 %","0,0 %",2,,133,"0,0 %",133,,"4,65","3,49%",5,"3,49%",MEDIUM,,,25,"24,3 %","0,0 %",0,,1 917,"-1,2 %",-24,,"244,94","12,78%",340,"17,71%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"
FEU VERT,,,5,"4,9 %","-72,2 %",-13,,327,"-75,8 %",-1 023,,"51,39","15,71%",89,"27,34%",MEDIUM,,,25,"24,3 %","0,0 %",0,,1 917,"-1,2 %",-24,,"244,94","12,78%",340,"17,71%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"
HANKOOK,,,,,"-100,0 %",-6,,,"-100,0 %",-554,,,-,,-,MEDIUM,,,25,"24,3 %","0,0 %",0,,1 917,"-1,2 %",-24,,"244,94","12,78%",340,"17,71%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"
KUMHO,,,14,"13,6 %","0,0 %",14,,1 117,"0,0 %",1 117,,"198,67","17,78%",231,"20,66%",MEDIUM,,,25,"24,3 %","0,0 %",0,,1 917,"-1,2 %",-24,,"244,94","12,78%",340,"17,71%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"
NEXEN,,,4,"3,9 %","300,0 %",3,,340,"844,3 %",304,,"-9,77","-2,88%",15,"4,33%",MEDIUM,,,25,"24,3 %","0,0 %",0,,1 917,"-1,2 %",-24,,"244,94","12,78%",340,"17,71%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"
AUTRE,,,,,"-100,0 %",-2,,,"-100,0 %",-81,,,-,,-,BUDGET,,,18,"17,5 %","-43,8 %",-14,,872,"-28,9 %",-355,,"88,29","10,13%",110,"12,64%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"
ROVELO,,,8,"7,8 %","33,3 %",2,,338,"104,1 %",172,,"87,11","25,80%",87,"25,80%",BUDGET,,,18,"17,5 %","-43,8 %",-14,,872,"-28,9 %",-355,,"88,29","10,13%",110,"12,64%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"
TRACMAX,,,10,"9,7 %","-58,3 %",-14,,534,"-45,5 %",-446,,"1,18","0,22%",23,"4,31%",BUDGET,,,18,"17,5 %","-43,8 %",-14,,872,"-28,9 %",-355,,"88,29","10,13%",110,"12,64%",,103,"-18,3 %",-23,,7 839,"-14,8 %","-1 358,55",,"-44,96","-0,57%",837,"10,68%"

marque3,Obj3,pdm7,real3,PdmReal3,Textbox312b,textbox197,Textbox106,G3,Textbox82,textbox257,I3,JI6,Textbox100,J3,Textbox9,categorie3,textbox199,textbox289,Greal3,textbox201,Textbox314b,textbox202,Textbox108,GG3,Textbox85,textbox271,GI3,GJI6,Textbox109,GJ3,Textbox11,textbox50,totalReal3,Textbox315b,textbox203,Textbox110,TG3,Textbox86,textbox261,TI3,TJI6,Textbox281,TJ3,Textbox12
AUTRE,,,2,"33,3 %","0,0 %",2,,233,"0,0 %",233,,"-5,53","-2,37%",-6,"-2,37%",PREMIUM,,,2,"33,3 %","-75,0 %",-6,,233,"-66,9 %",-471,,"-5,53","-2,37%",-6,"-2,37%",,6,"-57,1 %",-8,,621,"-50,1 %","-622,29",,"18,10","2,92%",27,"4,34%"
CONTINENTAL,,,,,"-100,0 %",-2,,,"-100,0 %",-222,,,-,,-,PREMIUM,,,2,"33,3 %","-75,0 %",-6,,233,"-66,9 %",-471,,"-5,53","-2,37%",-6,"-2,37%",,6,"-57,1 %",-8,,621,"-50,1 %","-622,29",,"18,10","2,92%",27,"4,34%"
MICHELIN,,,,,"-100,0 %",-6,,,"-100,0 %",-483,,,-,,-,PREMIUM,,,2,"33,3 %","-75,0 %",-6,,233,"-66,9 %",-471,,"-5,53","-2,37%",-6,"-2,37%",,6,"-57,1 %",-8,,621,"-50,1 %","-622,29",,"18,10","2,92%",27,"4,34%"
AUTRE,,,2,"33,3 %","0,0 %",2,,128,"0,0 %",128,,"1,70","1,33%",11,"8,24%",MEDIUM,,,2,"33,3 %","-66,7 %",-4,,128,"-76,3 %",-411,,"1,70","1,33%",11,"8,24%",,6,"-57,1 %",-8,,621,"-50,1 %","-622,29",,"18,10","2,92%",27,"4,34%"
HANKOOK,,,,,"-100,0 %",-2,,,"-100,0 %",-221,,,-,,-,MEDIUM,,,2,"33,3 %","-66,7 %",-4,,128,"-76,3 %",-411,,"1,70","1,33%",11,"8,24%",,6,"-57,1 %",-8,,621,"-50,1 %","-622,29",,"18,10","2,92%",27,"4,34%"
KUMHO,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,2,"33,3 %","-66,7 %",-4,,128,"-76,3 %",-411,,"1,70","1,33%",11,"8,24%",,6,"-57,1 %",-8,,621,"-50,1 %","-622,29",,"18,10","2,92%",27,"4,34%"
NOKIAN,,,,,"-100,0 %",-4,,,"-100,0 %",-318,,,-,,-,MEDIUM,,,2,"33,3 %","-66,7 %",-4,,128,"-76,3 %",-411,,"1,70","1,33%",11,"8,24%",,6,"-57,1 %",-8,,621,"-50,1 %","-622,29",,"18,10","2,92%",27,"4,34%"
AUTRE,,,2,"33,3 %","0,0 %",2,,260,"0,0 %",260,,"21,93","8,44%",22,"8,44%",BUDGET,,,2,"33,3 %","0,0 %",2,,260,"0,0 %",260,,"21,93","8,44%",22,"8,44%",,6,"-57,1 %",-8,,621,"-50,1 %","-622,29",,"18,10","2,92%",27,"4,34%"
TRACMAX,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,BUDGET,,,2,"33,3 %","0,0 %",2,,260,"0,0 %",260,,"21,93","8,44%",22,"8,44%",,6,"-57,1 %",-8,,621,"-50,1 %","-622,29",,"18,10","2,92%",27,"4,34%"

