textbox89,textbox9856,textbox25
Sélectionnez une période,01/05/2026 - 31/05/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
AUTRE,,,7,"1,9 %","75,0 %",3,,443,"72,1 %",186,,"-105,89","-23,91%",-97,"-22,00%",PREMIUM,,,158,"42,0 %","-11,2 %",-20,,17 049,"-9,1 %",-1 716,,"453,25","2,66%",2 271,"13,32%",,376,"-11,1 %",-47,,31 762,"-10,3 %","-3 648,00",,"1 279,10","4,03%",4 430,"13,95%"
CONTINENTAL,,,93,"24,7 %","4,5 %",4,,9 643,"5,4 %",495,,"-228,95","-2,37%",1 464,"15,18%",PREMIUM,,,158,"42,0 %","-11,2 %",-20,,17 049,"-9,1 %",-1 716,,"453,25","2,66%",2 271,"13,32%",,376,"-11,1 %",-47,,31 762,"-10,3 %","-3 648,00",,"1 279,10","4,03%",4 430,"13,95%"
GOODYEAR,,,2,"0,5 %","-77,8 %",-7,,182,"-75,1 %",-547,,"-1,66","-0,91%",6,"3,12%",PREMIUM,,,158,"42,0 %","-11,2 %",-20,,17 049,"-9,1 %",-1 716,,"453,25","2,66%",2 271,"13,32%",,376,"-11,1 %",-47,,31 762,"-10,3 %","-3 648,00",,"1 279,10","4,03%",4 430,"13,95%"
MICHELIN,,,56,"14,9 %","-15,2 %",-10,,6 782,"-3,9 %",-274,,"789,75","11,64%",899,"13,25%",PREMIUM,,,158,"42,0 %","-11,2 %",-20,,17 049,"-9,1 %",-1 716,,"453,25","2,66%",2 271,"13,32%",,376,"-11,1 %",-47,,31 762,"-10,3 %","-3 648,00",,"1 279,10","4,03%",4 430,"13,95%"
PIRELLI,,,,,"-100,0 %",-10,,,"-100,0 %",-1 576,,,-,,-,PREMIUM,,,158,"42,0 %","-11,2 %",-20,,17 049,"-9,1 %",-1 716,,"453,25","2,66%",2 271,"13,32%",,376,"-11,1 %",-47,,31 762,"-10,3 %","-3 648,00",,"1 279,10","4,03%",4 430,"13,95%"
AUTRE,,,16,"4,3 %","77,8 %",7,,1 235,"90,7 %",587,,"126,72","10,26%",145,"11,76%",MEDIUM,,,161,"42,8 %","-12,0 %",-22,,11 798,"-15,9 %",-2 223,,"523,63","4,44%",1 802,"15,28%",,376,"-11,1 %",-47,,31 762,"-10,3 %","-3 648,00",,"1 279,10","4,03%",4 430,"13,95%"
FEU VERT,,,63,"16,8 %","-22,2 %",-18,,4 323,"-30,8 %",-1 928,,"624,86","14,45%",1 135,"26,26%",MEDIUM,,,161,"42,8 %","-12,0 %",-22,,11 798,"-15,9 %",-2 223,,"523,63","4,44%",1 802,"15,28%",,376,"-11,1 %",-47,,31 762,"-10,3 %","-3 648,00",,"1 279,10","4,03%",4 430,"13,95%"
HANKOOK,,,68,"18,1 %","-23,6 %",-21,,5 395,"-19,9 %",-1 344,,"-235,98","-4,37%",458,"8,50%",MEDIUM,,,161,"42,8 %","-12,0 %",-22,,11 798,"-15,9 %",-2 223,,"523,63","4,44%",1 802,"15,28%",,376,"-11,1 %",-47,,31 762,"-10,3 %","-3 648,00",,"1 279,10","4,03%",4 430,"13,95%"
KUMHO,,,2,"0,5 %","0,0 %",2,,103,"0,0 %",103,,"13,40","13,07%",17,"16,12%",MEDIUM,,,161,"42,8 %","-12,0 %",-22,,11 798,"-15,9 %",-2 223,,"523,63","4,44%",1 802,"15,28%",,376,"-11,1 %",-47,,31 762,"-10,3 %","-3 648,00",,"1 279,10","4,03%",4 430,"13,95%"
NEXEN,,,12,"3,2 %","500,0 %",10,,742,"389,7 %",590,,"-5,37","-0,72%",47,"6,33%",MEDIUM,,,161,"42,8 %","-12,0 %",-22,,11 798,"-15,9 %",-2 223,,"523,63","4,44%",1 802,"15,28%",,376,"-11,1 %",-47,,31 762,"-10,3 %","-3 648,00",,"1 279,10","4,03%",4 430,"13,95%"
