textbox89,textbox9856,textbox25
Sélectionnez une période,01/01/2026 - 31/03/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
AUTRE,,,,,"-100,0 %",-6,,,"-100,0 %",-546,,,-,,-,PREMIUM,,,90,"34,9 %","0,0 %",0,,9 334,"2,7 %",249,,"-108,52","-1,16%",932,"9,98%",,258,"-5,1 %",-14,,18 006,"2,6 %","457,48",,"188,58","1,05%",1 825,"10,14%"
CONTINENTAL,,,46,"17,8 %","0,0 %",0,,4 552,"1,1 %",52,,"-385,18","-8,46%",553,"12,15%",PREMIUM,,,90,"34,9 %","0,0 %",0,,9 334,"2,7 %",249,,"-108,52","-1,16%",932,"9,98%",,258,"-5,1 %",-14,,18 006,"2,6 %","457,48",,"188,58","1,05%",1 825,"10,14%"
GOODYEAR,,,,,"-100,0 %",-3,,,"-100,0 %",-272,,,-,,-,PREMIUM,,,90,"34,9 %","0,0 %",0,,9 334,"2,7 %",249,,"-108,52","-1,16%",932,"9,98%",,258,"-5,1 %",-14,,18 006,"2,6 %","457,48",,"188,58","1,05%",1 825,"10,14%"
MICHELIN,,,38,"14,7 %","8,6 %",3,,3 961,"5,2 %",194,,"252,29","6,37%",323,"8,15%",PREMIUM,,,90,"34,9 %","0,0 %",0,,9 334,"2,7 %",249,,"-108,52","-1,16%",932,"9,98%",,258,"-5,1 %",-14,,18 006,"2,6 %","457,48",,"188,58","1,05%",1 825,"10,14%"
PIRELLI,,,6,"2,3 %","0,0 %",6,,821,"0,0 %",821,,"24,37","2,97%",56,"6,85%",PREMIUM,,,90,"34,9 %","0,0 %",0,,9 334,"2,7 %",249,,"-108,52","-1,16%",932,"9,98%",,258,"-5,1 %",-14,,18 006,"2,6 %","457,48",,"188,58","1,05%",1 825,"10,14%"
AUTRE,,,3,"1,2 %","-25,0 %",-1,,210,"-29,2 %",-86,,"11,67","5,56%",12,"5,56%",MEDIUM,,,69,"26,7 %","-9,2 %",-7,,5 137,"-1,1 %",-60,,"628,69","12,24%",1 158,"22,54%",,258,"-5,1 %",-14,,18 006,"2,6 %","457,48",,"188,58","1,05%",1 825,"10,14%"
FEU VERT,,,48,"18,6 %","-15,8 %",-9,,3 517,"-5,4 %",-202,,"566,33","16,10%",973,"27,68%",MEDIUM,,,69,"26,7 %","-9,2 %",-7,,5 137,"-1,1 %",-60,,"628,69","12,24%",1 158,"22,54%",,258,"-5,1 %",-14,,18 006,"2,6 %","457,48",,"188,58","1,05%",1 825,"10,14%"
HANKOOK,,,6,"2,3 %","-53,8 %",-7,,522,"-48,1 %",-484,,"20,81","3,99%",83,"15,83%",MEDIUM,,,69,"26,7 %","-9,2 %",-7,,5 137,"-1,1 %",-60,,"628,69","12,24%",1 158,"22,54%",,258,"-5,1 %",-14,,18 006,"2,6 %","457,48",,"188,58","1,05%",1 825,"10,14%"
NEXEN,,,12,"4,7 %","500,0 %",10,,888,"408,0 %",713,,"29,88","3,36%",90,"10,13%",MEDIUM,,,69,"26,7 %","-9,2 %",-7,,5 137,"-1,1 %",-60,,"628,69","12,24%",1 158,"22,54%",,258,"-5,1 %",-14,,18 006,"2,6 %","457,48",,"188,58","1,05%",1 825,"10,14%"
AUTRE,,,19,"7,4 %","0,0 %",19,,1 131,"0,0 %",1 131,,"63,67","5,63%",96,"8,47%",BUDGET,,,99,"38,4 %","-6,6 %",-7,,3 535,"8,2 %",268,,"-331,59","-9,38%",-264,"-7,47%",,258,"-5,1 %",-14,,18 006,"2,6 %","457,48",,"188,58","1,05%",1 825,"10,14%"
ROVELO,,,64,"24,8 %","-33,3 %",-32,,1 529,"-46,4 %",-1 324,,"-408,76","-26,73%",-409,"-26,73%",BUDGET,,,99,"38,4 %","-6,6 %",-7,,3 535,"8,2 %",268,,"-331,59","-9,38%",-264,"-7,47%",,258,"-5,1 %",-14,,18 006,"2,6 %","457,48",,"188,58","1,05%",1 825,"10,14%"
TRACMAX,,,16,"6,2 %","60,0 %",6,,875,"111,2 %",461,,"13,50","1,54%",49,"5,58%",BUDGET,,,99,"38,4 %","-6,6 %",-7,,3 535,"8,2 %",268,,"-331,59","-9,38%",-264,"-7,47%",,258,"-5,1 %",-14,,18 006,"2,6 %","457,48",,"188,58","1,05%",1 825,"10,14%"

marque2,Obj2,pdm6,real2,PdmReal2,Textbox307,textbox189,Textbox101,G2,Textbox77,textbox256,I2,JI4,Textbox99,J2,Textbox3,categorie2,textbox191,textbox286,Greal2,textbox193,Textbox309,textbox194,Textbox102,GG2,Textbox80,textbox268,GI2,GJI4,Textbox104,GJ2,Textbox5,textbox33,totalReal2,Textbox310,textbox195,Textbox105,TG2,Textbox81,textbox260,TI2,TJI4,Textbox276,TJ2,Textbox6
AUTRE,,,10,"1,6 %","0,0 %",10,,991,"0,0 %",991,,"143,09","14,44%",160,"16,15%",PREMIUM,,,258,"40,0 %","4,0 %",10,,25 903,"11,3 %",2 638,,"-283,85","-1,10%",2 631,"10,16%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
CONTINENTAL,,,180,"27,9 %","-3,7 %",-7,,16 868,"1,9 %",319,,"-915,28","-5,43%",1 797,"10,65%",PREMIUM,,,258,"40,0 %","4,0 %",10,,25 903,"11,3 %",2 638,,"-283,85","-1,10%",2 631,"10,16%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
GOODYEAR,,,6,"0,9 %","50,0 %",2,,738,"40,9 %",214,,"-22,65","-3,07%",8,"1,05%",PREMIUM,,,258,"40,0 %","4,0 %",10,,25 903,"11,3 %",2 638,,"-283,85","-1,10%",2 631,"10,16%",,645,"19,2 %",104,,49 540,"27,3 %","10 625,17",,"300,24","0,61%",5 209,"10,52%"
