textbox89,textbox9856,textbox25
Sélectionnez une période,08/06/2026 - 14/06/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
GOODYEAR,,,2,"3,1 %","0,0 %",2,,187,"0,0 %",187,,"-6,20","-3,32%",2,"0,82%",PREMIUM,,,24,"37,5 %","33,3 %",6,,2 798,"65,3 %",1 105,,"9,54","0,34%",259,"9,27%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
MICHELIN,,,10,"15,6 %","400,0 %",8,,837,"269,4 %",611,,"78,88","9,42%",93,"11,14%",PREMIUM,,,24,"37,5 %","33,3 %",6,,2 798,"65,3 %",1 105,,"9,54","0,34%",259,"9,27%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
PIRELLI,,,4,"6,3 %","0,0 %",4,,880,"0,0 %",880,,"71,17","8,09%",104,"11,77%",PREMIUM,,,24,"37,5 %","33,3 %",6,,2 798,"65,3 %",1 105,,"9,54","0,34%",259,"9,27%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,12,"18,8 %","20,0 %",2,,917,"24,9 %",183,,"54,76","5,97%",151,"16,42%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
FEU VERT,,,6,"9,4 %","50,0 %",2,,415,"56,9 %",151,,"60,10","14,47%",109,"26,28%",MEDIUM,,,12,"18,8 %","20,0 %",2,,917,"24,9 %",183,,"54,76","5,97%",151,"16,42%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
HANKOOK,,,2,"3,1 %","-66,7 %",-4,,199,"-57,7 %",-271,,"-13,34","-6,72%",13,"6,44%",MEDIUM,,,12,"18,8 %","20,0 %",2,,917,"24,9 %",183,,"54,76","5,97%",151,"16,42%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
NEXEN,,,4,"6,3 %","0,0 %",4,,303,"0,0 %",303,,"8,00","2,64%",29,"9,46%",MEDIUM,,,12,"18,8 %","20,0 %",2,,917,"24,9 %",183,,"54,76","5,97%",151,"16,42%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
AUTRE,,,22,"34,4 %","0,0 %",22,,920,"0,0 %",920,,"-134,87","-14,65%",-98,"-10,64%",BUDGET,,,28,"43,8 %","2 700,0 %",27,,1 188,"3 146,7 %",1 151,,"-121,43","-10,22%",-77,"-6,49%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
ROVELO,,,2,"3,1 %","100,0 %",1,,92,"151,0 %",55,,"18,31","19,94%",18,"19,94%",BUDGET,,,28,"43,8 %","2 700,0 %",27,,1 188,"3 146,7 %",1 151,,"-121,43","-10,22%",-77,"-6,49%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"
TRACMAX,,,4,"6,3 %","0,0 %",4,,175,"0,0 %",175,,"-4,87","-2,78%",3,"1,44%",BUDGET,,,28,"43,8 %","2 700,0 %",27,,1 188,"3 146,7 %",1 151,,"-121,43","-10,22%",-77,"-6,49%",,64,"120,7 %",35,,4 903,"99,0 %","2 438,90",,"-57,13","-1,17%",333,"6,79%"

marque2,Obj2,pdm6,real2,PdmReal2,Textbox307,textbox189,Textbox101,G2,Textbox77,textbox256,I2,JI4,Textbox99,J2,Textbox3,categorie2,textbox191,textbox286,Greal2,textbox193,Textbox309,textbox194,Textbox102,GG2,Textbox80,textbox268,GI2,GJI4,Textbox104,GJ2,Textbox5,textbox33,totalReal2,Textbox310,textbox195,Textbox105,TG2,Textbox81,textbox260,TI2,TJI4,Textbox276,TJ2,Textbox6
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,14,"38,9 %","-36,4 %",-8,,1 187,"-36,6 %",-687,,"39,18","3,30%",187,"15,77%",,36,"5,9 %",2,,2 441,"-6,3 %","-165,27",,"86,60","3,55%",295,"12,07%"
CONTINENTAL,,,12,"33,3 %","-25,0 %",-4,,965,"-20,6 %",-250,,"19,48","2,02%",164,"16,96%",PREMIUM,,,14,"38,9 %","-36,4 %",-8,,1 187,"-36,6 %",-687,,"39,18","3,30%",187,"15,77%",,36,"5,9 %",2,,2 441,"-6,3 %","-165,27",,"86,60","3,55%",295,"12,07%"
GOODYEAR,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,14,"38,9 %","-36,4 %",-8,,1 187,"-36,6 %",-687,,"39,18","3,30%",187,"15,77%",,36,"5,9 %",2,,2 441,"-6,3 %","-165,27",,"86,60","3,55%",295,"12,07%"
MICHELIN,,,2,"5,6 %","-66,7 %",-4,,223,"-66,2 %",-436,,"19,70","8,85%",24,"10,59%",PREMIUM,,,14,"38,9 %","-36,4 %",-8,,1 187,"-36,6 %",-687,,"39,18","3,30%",187,"15,77%",,36,"5,9 %",2,,2 441,"-6,3 %","-165,27",,"86,60","3,55%",295,"12,07%"
PIRELLI,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,14,"38,9 %","-36,4 %",-8,,1 187,"-36,6 %",-687,,"39,18","3,30%",187,"15,77%",,36,"5,9 %",2,,2 441,"-6,3 %","-165,27",,"86,60","3,55%",295,"12,07%"
AUTRE,,,2,"5,6 %","0,0 %",2,,158,"0,0 %",158,,"7,22","4,58%",7,"4,58%",MEDIUM,,,18,"50,0 %","125,0 %",10,,1 071,"94,6 %",521,,"24,69","2,31%",78,"7,29%",,36,"5,9 %",2,,2 441,"-6,3 %","-165,27",,"86,60","3,55%",295,"12,07%"
FEU VERT,,,4,"11,1 %","0,0 %",0,,246,"-10,9 %",-30,,"32,45","13,17%",62,"25,16%",MEDIUM,,,18,"50,0 %","125,0 %",10,,1 071,"94,6 %",521,,"24,69","2,31%",78,"7,29%",,36,"5,9 %",2,,2 441,"-6,3 %","-165,27",,"86,60","3,55%",295,"12,07%"
HANKOOK,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,18,"50,0 %","125,0 %",10,,1 071,"94,6 %",521,,"24,69","2,31%",78,"7,29%",,36,"5,9 %",2,,2 441,"-6,3 %","-165,27",,"86,60","3,55%",295,"12,07%"
KUMHO,,,12,"33,3 %","0,0 %",12,,667,"0,0 %",667,,"-14,98","-2,25%",9,"1,33%",MEDIUM,,,18,"50,0 %","125,0 %",10,,1 071,"94,6 %",521,,"24,69","2,31%",78,"7,29%",,36,"5,9 %",2,,2 441,"-6,3 %","-165,27",,"86,60","3,55%",295,"12,07%"
NEXEN,,,,,"-100,0 %",-4,,,"-100,0 %",-274,,,-,,-,MEDIUM,,,18,"50,0 %","125,0 %",10,,1 071,"94,6 %",521,,"24,69","2,31%",78,"7,29%",,36,"5,9 %",2,,2 441,"-6,3 %","-165,27",,"86,60","3,55%",295,"12,07%"
AUTRE,,,,,"-100,0 %",-4,,,"-100,0 %",-182,,,-,,-,BUDGET,,,4,"11,1 %","0,0 %",0,,182,"0,4 %",1,,"22,73","12,47%",29,"16,06%",,36,"5,9 %",2,,2 441,"-6,3 %","-165,27",,"86,60","3,55%",295,"12,07%"
