textbox89,textbox9856,textbox25
Sélectionnez une période,15/06/2026 - 21/06/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
GOODYEAR,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,8,"28,6 %","-63,6 %",-14,,1 004,"-51,6 %",-1 070,,"-54,98","-5,48%",119,"11,84%",,28,"-33,3 %",-14,,2 170,"-39,2 %","-1 397,29",,"101,84","4,69%",306,"14,10%"
MICHELIN,,,2,"7,1 %","-66,7 %",-4,,180,"-71,6 %",-454,,"20,23","11,25%",23,"12,94%",PREMIUM,,,8,"28,6 %","-63,6 %",-14,,1 004,"-51,6 %",-1 070,,"-54,98","-5,48%",119,"11,84%",,28,"-33,3 %",-14,,2 170,"-39,2 %","-1 397,29",,"101,84","4,69%",306,"14,10%"
PIRELLI,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,8,"28,6 %","-63,6 %",-14,,1 004,"-51,6 %",-1 070,,"-54,98","-5,48%",119,"11,84%",,28,"-33,3 %",-14,,2 170,"-39,2 %","-1 397,29",,"101,84","4,69%",306,"14,10%"
AUTRE,,,2,"7,1 %","-50,0 %",-2,,147,"-66,6 %",-293,,"20,67","14,09%",21,"14,09%",MEDIUM,,,4,"14,3 %","-75,0 %",-12,,333,"-74,8 %",-988,,"82,45","24,75%",100,"29,92%",,28,"-33,3 %",-14,,2 170,"-39,2 %","-1 397,29",,"101,84","4,69%",306,"14,10%"
FEU VERT,,,2,"7,1 %","-75,0 %",-6,,186,"-67,4 %",-386,,"61,78","33,14%",79,"42,36%",MEDIUM,,,4,"14,3 %","-75,0 %",-12,,333,"-74,8 %",-988,,"82,45","24,75%",100,"29,92%",,28,"-33,3 %",-14,,2 170,"-39,2 %","-1 397,29",,"101,84","4,69%",306,"14,10%"
HANKOOK,,,,,"-100,0 %",-2,,,"-100,0 %",-198,,,-,,-,MEDIUM,,,4,"14,3 %","-75,0 %",-12,,333,"-74,8 %",-988,,"82,45","24,75%",100,"29,92%",,28,"-33,3 %",-14,,2 170,"-39,2 %","-1 397,29",,"101,84","4,69%",306,"14,10%"
NEXEN,,,,,"-100,0 %",-2,,,"-100,0 %",-111,,,-,,-,MEDIUM,,,4,"14,3 %","-75,0 %",-12,,333,"-74,8 %",-988,,"82,45","24,75%",100,"29,92%",,28,"-33,3 %",-14,,2 170,"-39,2 %","-1 397,29",,"101,84","4,69%",306,"14,10%"
AUTRE,,,12,"42,9 %","500,0 %",10,,658,"576,1 %",561,,"26,01","3,95%",39,"5,93%",BUDGET,,,16,"57,1 %","300,0 %",12,,833,"383,2 %",660,,"74,37","8,93%",87,"10,49%",,28,"-33,3 %",-14,,2 170,"-39,2 %","-1 397,29",,"101,84","4,69%",306,"14,10%"
ROVELO,,,4,"14,3 %","100,0 %",2,,175,"132,9 %",100,,"48,36","27,69%",48,"27,69%",BUDGET,,,16,"57,1 %","300,0 %",12,,833,"383,2 %",660,,"74,37","8,93%",87,"10,49%",,28,"-33,3 %",-14,,2 170,"-39,2 %","-1 397,29",,"101,84","4,69%",306,"14,10%"
SAILUN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,BUDGET,,,16,"57,1 %","300,0 %",12,,833,"383,2 %",660,,"74,37","8,93%",87,"10,49%",,28,"-33,3 %",-14,,2 170,"-39,2 %","-1 397,29",,"101,84","4,69%",306,"14,10%"
