textbox89,textbox9856,textbox25
Sélectionnez une période,04/05/2026 - 10/05/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
AUTRE,,,1,"1,1 %","0,0 %",1,,0,"0,0 %",0,,"-125,21",#Erreur,-125,-,PREMIUM,,,46,"50,0 %","-8,0 %",-4,,4 779,"-11,9 %",-647,,"-48,66","-1,02%",555,"11,62%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
CONTINENTAL,,,33,"35,9 %","32,0 %",8,,3 242,"31,8 %",782,,"-113,52","-3,50%",465,"14,34%",PREMIUM,,,46,"50,0 %","-8,0 %",-4,,4 779,"-11,9 %",-647,,"-48,66","-1,02%",555,"11,62%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
GOODYEAR,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,46,"50,0 %","-8,0 %",-4,,4 779,"-11,9 %",-647,,"-48,66","-1,02%",555,"11,62%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
MICHELIN,,,12,"13,0 %","-52,0 %",-13,,1 538,"-48,2 %",-1 429,,"190,07","12,36%",216,"14,03%",PREMIUM,,,46,"50,0 %","-8,0 %",-4,,4 779,"-11,9 %",-647,,"-48,66","-1,02%",555,"11,62%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
PIRELLI,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,46,"50,0 %","-8,0 %",-4,,4 779,"-11,9 %",-647,,"-48,66","-1,02%",555,"11,62%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
AUTRE,,,4,"4,3 %","100,0 %",2,,327,"181,2 %",211,,"32,55","9,95%",36,"10,90%",MEDIUM,,,42,"45,7 %","-26,3 %",-15,,2 927,"-30,5 %",-1 283,,"128,24","4,38%",443,"15,15%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
FEU VERT,,,22,"23,9 %","15,8 %",3,,1 482,"11,8 %",157,,"155,28","10,48%",338,"22,83%",MEDIUM,,,42,"45,7 %","-26,3 %",-15,,2 927,"-30,5 %",-1 283,,"128,24","4,38%",443,"15,15%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
HANKOOK,,,12,"13,0 %","-64,7 %",-22,,824,"-68,5 %",-1 793,,"-49,28","-5,98%",58,"7,08%",MEDIUM,,,42,"45,7 %","-26,3 %",-15,,2 927,"-30,5 %",-1 283,,"128,24","4,38%",443,"15,15%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
KUMHO,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,42,"45,7 %","-26,3 %",-15,,2 927,"-30,5 %",-1 283,,"128,24","4,38%",443,"15,15%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
NEXEN,,,4,"4,3 %","100,0 %",2,,294,"94,3 %",143,,"-10,31","-3,50%",11,"3,74%",MEDIUM,,,42,"45,7 %","-26,3 %",-15,,2 927,"-30,5 %",-1 283,,"128,24","4,38%",443,"15,15%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
NOKIAN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,42,"45,7 %","-26,3 %",-15,,2 927,"-30,5 %",-1 283,,"128,24","4,38%",443,"15,15%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
AUTRE,,,2,"2,2 %","-83,3 %",-10,,85,"-82,9 %",-411,,"7,05","8,31%",7,"8,72%",BUDGET,,,4,"4,3 %","-80,0 %",-16,,165,"-79,6 %",-642,,"3,61","2,19%",7,"4,48%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
ROVELO,,,,,"-100,0 %",-6,,,"-100,0 %",-214,,,-,,-,BUDGET,,,4,"4,3 %","-80,0 %",-16,,165,"-79,6 %",-642,,"3,61","2,19%",7,"4,48%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"
TRACMAX,,,2,"2,2 %","0,0 %",0,,80,"-17,8 %",-17,,"-3,44","-4,30%",0,"-0,02%",BUDGET,,,4,"4,3 %","-80,0 %",-16,,165,"-79,6 %",-642,,"3,61","2,19%",7,"4,48%",,92,"-27,6 %",-35,,7 871,"-24,6 %","-2 572,61",,"83,19","1,06%",1 006,"12,78%"

marque,Obj,pdm5,real,PdmReal,Textbox305,textbox181,ObjectifCA2,G,Textbox73,textbox255,I,JI,Textbox98,J,textbox313,categorie,textbox184,textbox285,Greal,textbox187,Textbox311,textbox183,Textbox95,GG,Textbox75,textbox267,GI,GJI,Textbox107,GJ,textbox317,textbox8,totalReal,Textbox316b,textbox186,Textbox96,TG,Textbox76,textbox259,TI,TJI,Textbox103,TJ,textbox318
AUTRE,,,1,"1,7 %","0,0 %",1,,0,"0,0 %",0,,"-125,21",#Erreur,-125,-,PREMIUM,,,28,"48,3 %","-24,3 %",-9,,3 058,"-22,7 %",-898,,"-31,04","-1,02%",363,"11,88%",,58,"-43,1 %",-44,,5 110,"-37,1 %","-3 013,04",,"23,97","0,47%",635,"12,42%"
CONTINENTAL,,,19,"32,8 %","18,8 %",3,,1 908,"21,7 %",340,,"-69,16","-3,63%",306,"16,06%",PREMIUM,,,28,"48,3 %","-24,3 %",-9,,3 058,"-22,7 %",-898,,"-31,04","-1,02%",363,"11,88%",,58,"-43,1 %",-44,,5 110,"-37,1 %","-3 013,04",,"23,97","0,47%",635,"12,42%"
