textbox89,textbox9856,textbox25
Sélectionnez une période,18/05/2026 - 24/05/2026,ANNECY 2

marque4,Obj4,pdm4,real4,PdmReal4,Textbox301,textbox205,ObjectifCA,G4,Textbox68,textbox258,I4,JI5,Textbox90,J4,Textbox15,categorie4,textbox207,textbox208,Greal4,textbox209,Textbox303,textbox210,Textbox74,GG4,Textbox70,textbox274,GI4,GJI5,Textbox92,GJ4,Textbox17,textbox66,totalReal4,Textbox304,textbox215,ObjectifCA1,TG4,Textbox71,textbox262,TI4,TJI5,Textbox94,TJ4,Textbox18
GOODYEAR,,,,,"-100,0 %",-2,,,"-100,0 %",-290,,,-,,-,PREMIUM,,,10,"26,3 %","-37,5 %",-6,,825,"-51,8 %",-887,,"9,71","1,18%",19,"2,35%",,38,"-30,9 %",-17,,2 748,"-41,8 %","-1 971,48",,"75,84","2,76%",269,"9,80%"
MICHELIN,,,10,"26,3 %","25,0 %",2,,882,"4,4 %",37,,"32,17","3,65%",48,"5,48%",PREMIUM,,,10,"26,3 %","-37,5 %",-6,,825,"-51,8 %",-887,,"9,71","1,18%",19,"2,35%",,38,"-30,9 %",-17,,2 748,"-41,8 %","-1 971,48",,"75,84","2,76%",269,"9,80%"
PIRELLI,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,PREMIUM,,,10,"26,3 %","-37,5 %",-6,,825,"-51,8 %",-887,,"9,71","1,18%",19,"2,35%",,38,"-30,9 %",-17,,2 748,"-41,8 %","-1 971,48",,"75,84","2,76%",269,"9,80%"
AUTRE,,,2,"5,3 %","100,0 %",1,,162,"158,7 %",99,,"10,64","6,59%",11,"6,59%",MEDIUM,,,22,"57,9 %","-43,6 %",-17,,1 652,"-45,1 %",-1 355,,"39,59","2,40%",223,"13,53%",,38,"-30,9 %",-17,,2 748,"-41,8 %","-1 971,48",,"75,84","2,76%",269,"9,80%"
FEU VERT,,,4,"10,5 %","-84,6 %",-22,,328,"-85,0 %",-1 853,,"80,31","24,48%",114,"34,91%",MEDIUM,,,22,"57,9 %","-43,6 %",-17,,1 652,"-45,1 %",-1 355,,"39,59","2,40%",223,"13,53%",,38,"-30,9 %",-17,,2 748,"-41,8 %","-1 971,48",,"75,84","2,76%",269,"9,80%"
HANKOOK,,,16,"42,1 %","33,3 %",4,,1 163,"52,2 %",399,,"-51,36","-4,42%",98,"8,46%",MEDIUM,,,22,"57,9 %","-43,6 %",-17,,1 652,"-45,1 %",-1 355,,"39,59","2,40%",223,"13,53%",,38,"-30,9 %",-17,,2 748,"-41,8 %","-1 971,48",,"75,84","2,76%",269,"9,80%"
NEXEN,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,MEDIUM,,,22,"57,9 %","-43,6 %",-17,,1 652,"-45,1 %",-1 355,,"39,59","2,40%",223,"13,53%",,38,"-30,9 %",-17,,2 748,"-41,8 %","-1 971,48",,"75,84","2,76%",269,"9,80%"
AUTRE,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,BUDGET,,,6,"15,8 %","0,0 %",6,,271,"0,0 %",271,,"26,54","9,81%",27,"9,81%",,38,"-30,9 %",-17,,2 748,"-41,8 %","-1 971,48",,"75,84","2,76%",269,"9,80%"
ROVELO,,,6,"15,8 %","0,0 %",6,,271,"0,0 %",271,,"26,54","9,81%",27,"9,81%",BUDGET,,,6,"15,8 %","0,0 %",6,,271,"0,0 %",271,,"26,54","9,81%",27,"9,81%",,38,"-30,9 %",-17,,2 748,"-41,8 %","-1 971,48",,"75,84","2,76%",269,"9,80%"
TRACMAX,,,,,"0,0 %",0,,,"0,0 %",0,,,-,,-,BUDGET,,,6,"15,8 %","0,0 %",6,,271,"0,0 %",271,,"26,54","9,81%",27,"9,81%",,38,"-30,9 %",-17,,2 748,"-41,8 %","-1 971,48",,"75,84","2,76%",269,"9,80%"
