LIBELLEMAGASIN,textbox17,textbox27,textbox36,textbox34,textbox61,textbox29,marque
ANNECY SEYNOD,13/04/2026,19/04/2026,14/04/2025,20/04/2025,Total centre,Tous les fournisseurs,Toutes les marques

textbox48,textbox49,textbox60,textbox50,textbox94,textbox51,textbox52,textbox53,textbox54,textbox108,textbox62,textbox67,textbox76,textbox80,codeFamille,CAHT_n_4,CAHT_n_1_1,CAHT_n_5,textbox57,codeGamme,textbox85,MARGE_n,MARGE_n_1,MARGE_n_3,MARGE_n_5,textbox109,textbox63,textbox68,textbox83,textbox84,codeSousFamille,CAHT_n_3,CAHT_n_1_2,textbox32,textbox24,textbox100,textbox86,textbox25,textbox9,textbox4,textbox38,textbox64,textbox69,textbox87,textbox88,codeGamme_1,CAHT_n_2,CAHT_n_1_3,textbox35,textbox31,textbox89,textbox41,textbox11,textbox14,textbox39,textbox65,textbox75,textbox91,textbox92,codeArticle,nomProduit,CAHT_n,CAHT_n_1,CAHT_n_6,textbox7,MARGE_n_2,MARGE_n_1_1,MARGE_n_4,MARGE_n_6,textbox66,textbox79,textbox102,textbox103
43 931,48 478,-4 547 €,"-9,4 %","81,6 %","53,3 %","48,1 %",101 €,"0,4 %","89,5 %",2 710,2 703,7,"0,3 %",A-ENTRETIEN,4 074,3 094,979 €,"31,7 %","7,6 %","9,3 %","43,6 %","47,5 %",305 €,"20,7 %","90,4 %",330,249,81,"32,5 %",AA-PEINTURE ET REPAR.CARROSSERIE,"189,48","196,19",-7 €,"-3,4 %","0,4 %","4,7 %","42,4 %","46,8 %",-11 €,"-12,4 %",17,17,0,"0,0 %",AA01-MASTICS ET RESINES,"39,97","27,23",13 €,"46,8 %","1,0 %","62,1 %","60,5 %",8 €,"50,6 %",4,3,1,"33,3 %",103045,"FIBRE VERRE TISS FIN 0,5M2","9,99",,10 €,-,"63,0 %",-,6 €,-,1,,1,-
43 931,48 478,-4 547 €,"-9,4 %","81,6 %","53,3 %","48,1 %",101 €,"0,4 %","89,5 %",2 710,2 703,7,"0,3 %",A-ENTRETIEN,4 074,3 094,979 €,"31,7 %","7,6 %","9,3 %","43,6 %","47,5 %",305 €,"20,7 %","90,4 %",330,249,81,"32,5 %",AA-PEINTURE ET REPAR.CARROSSERIE,"189,48","196,19",-7 €,"-3,4 %","0,4 %","4,7 %","42,4 %","46,8 %",-11 €,"-12,4 %",17,17,0,"0,0 %",AA01-MASTICS ET RESINES,"39,97","27,23",13 €,"46,8 %","1,0 %","62,1 %","60,5 %",8 €,"50,6 %",4,3,1,"33,3 %",103051,MASTIC NITRO COMBI GRIS 250G,"9,16","9,16",0 €,"0,0 %","59,7 %","60,9 %",0 €,"-2,0 %",1,1,0,"0,0 %"
43 931,48 478,-4 547 €,"-9,4 %","81,6 %","53,3 %","48,1 %",101 €,"0,4 %","89,5 %",2 710,2 703,7,"0,3 %",A-ENTRETIEN,4 074,3 094,979 €,"31,7 %","7,6 %","9,3 %","43,6 %","47,5 %",305 €,"20,7 %","90,4 %",330,249,81,"32,5 %",AA-PEINTURE ET REPAR.CARROSSERIE,"189,48","196,19",-7 €,"-3,4 %","0,4 %","4,7 %","42,4 %","46,8 %",-11 €,"-12,4 %",17,17,0,"0,0 %",AA01-MASTICS ET RESINES,"39,97","27,23",13 €,"46,8 %","1,0 %","62,1 %","60,5 %",8 €,"50,6 %",4,3,1,"33,3 %",103438,MASTIC TS USAGES+DURCIS 250G,,"6,41",-6 €,"-100,0 %",-,"52,1 %",-3 €,"-100,0 %",,1,-1,"-100,0 %"
43 931,48 478,-4 547 €,"-9,4 %","81,6 %","53,3 %","48,1 %",101 €,"0,4 %","89,5 %",2 710,2 703,7,"0,3 %",A-ENTRETIEN,4 074,3 094,979 €,"31,7 %","7,6 %","9,3 %","43,6 %","47,5 %",305 €,"20,7 %","90,4 %",330,249,81,"32,5 %",AA-PEINTURE ET REPAR.CARROSSERIE,"189,48","196,19",-7 €,"-3,4 %","0,4 %","4,7 %","42,4 %","46,8 %",-11 €,"-12,4 %",17,17,0,"0,0 %",AA01-MASTICS ET RESINES,"39,97","27,23",13 €,"46,8 %","1,0 %","62,1 %","60,5 %",8 €,"50,6 %",4,3,1,"33,3 %",103443,MASTIC FIN POLYEST+DURCIS 250G,"9,16",,9 €,-,"61,4 %",-,6 €,-,1,,1,-
43 931,48 478,-4 547 €,"-9,4 %","81,6 %","53,3 %","48,1 %",101 €,"0,4 %","89,5 %",2 710,2 703,7,"0,3 %",A-ENTRETIEN,4 074,3 094,979 €,"31,7 %","7,6 %","9,3 %","43,6 %","47,5 %",305 €,"20,7 %","90,4 %",330,249,81,"32,5 %",AA-PEINTURE ET REPAR.CARROSSERIE,"189,48","196,19",-7 €,"-3,4 %","0,4 %","4,7 %","42,4 %","46,8 %",-11 €,"-12,4 %",17,17,0,"0,0 %",AA01-MASTICS ET RESINES,"39,97","27,23",13 €,"46,8 %","1,0 %","62,1 %","60,5 %",8 €,"50,6 %",4,3,1,"33,3 %",103448,MASTIC RESINE POLYESTER 250 G,"11,66","11,66",0 €,"0,0 %","63,7 %","64,8 %",0 €,"-1,6 %",1,1,0,"0,0 %"
43 931,48 478,-4 547 €,"-9,4 %","81,6 %","53,3 %","48,1 %",101 €,"0,4 %","89,5 %",2 710,2 703,7,"0,3 %",A-ENTRETIEN,4 074,3 094,979 €,"31,7 %","7,6 %","9,3 %","43,6 %","47,5 %",305 €,"20,7 %","90,4 %",330,249,81,"32,5 %",AA-PEINTURE ET REPAR.CARROSSERIE,"189,48","196,19",-7 €,"-3,4 %","0,4 %","4,7 %","42,4 %","46,8 %",-11 €,"-12,4 %",17,17,0,"0,0 %",AA02-MATERIEL DE PREPARATION,"8,74","3,20",6 €,"173,1 %","0,2 %","58,2 %","-57,5 %",7 €,"-376,6 %",2,1,1,"100,0 %",103059,ABRASIF EAU P400 X4,"4,58",,5 €,-,"53,3 %",-,2 €,-,1,,1,-
43 931,48 478,-4 547 €,"-9,4 %","81,6 %","53,3 %","48,1 %",101 €,"0,4 %","89,5 %",2 710,2 703,7,"0,3 %",A-ENTRETIEN,4 074,3 094,979 €,"31,7 %","7,6 %","9,3 %","43,6 %","47,5 %",305 €,"20,7 %","90,4 %",330,249,81,"32,5 %",AA-PEINTURE ET REPAR.CARROSSERIE,"189,48","196,19",-7 €,"-3,4 %","0,4 %","4,7 %","42,4 %","46,8 %",-11 €,"-12,4 %",17,17,0,"0,0 %",AA02-MATERIEL DE PREPARATION,"8,74","3,20",6 €,"173,1 %","0,2 %","58,2 %","-57,5 %",7 €,"-376,6 %",2,1,1,"100,0 %",103061,ABRASIF EAU P1000 X4,,"3,20",-3 €,"-100,0 %",-,"-57,5 %",2 €,"-100,0 %",,1,-1,"-100,0 %"
43 931,48 478,-4 547 €,"-9,4 %","81,6 %","53,3 %","48,1 %",101 €,"0,4 %","89,5 %",2 710,2 703,7,"0,3 %",A-ENTRETIEN,4 074,3 094,979 €,"31,7 %","7,6 %","9,3 %","43,6 %","47,5 %",305 €,"20,7 %","90,4 %",330,249,81,"32,5 %",AA-PEINTURE ET REPAR.CARROSSERIE,"189,48","196,19",-7 €,"-3,4 %","0,4 %","4,7 %","42,4 %","46,8 %",-11 €,"-12,4 %",17,17,0,"0,0 %",AA02-MATERIEL DE PREPARATION,"8,74","3,20",6 €,"173,1 %","0,2 %","58,2 %","-57,5 %",7 €,"-376,6 %",2,1,1,"100,0 %",103068,RUBAN DE MASQUAGE 19MMX50M,"4,16",,4 €,-,"63,7 %",-,3 €,-,1,,1,-
43 931,48 478,-4 547 €,"-9,4 %","81,6 %","53,3 %","48,1 %",101 €,"0,4 %","89,5 %",2 710,2 703,7,"0,3 %",A-ENTRETIEN,4 074,3 094,979 €,"31,7 %","7,6 %","9,3 %","43,6 %","47,5 %",305 €,"20,7 %","90,4 %",330,249,81,"32,5 %",AA-PEINTURE ET REPAR.CARROSSERIE,"189,48","196,19",-7 €,"-3,4 %","0,4 %","4,7 %","42,4 %","46,8 %",-11 €,"-12,4 %",17,17,0,"0,0 %",AA13-PEINTURE : AEROSOL,"140,77","165,76",-25 €,"-15,1 %","3,5 %","35,9 %","46,5 %",-27 €,"-34,6 %",11,13,-2,"-15,4 %",157942,FILMSPRAY JTE NOIR MAT 400ML,"14,99",,15 €,-,"11,1 %",-,2 €,-,1,,1,-
43 931,48 478,-4 547 €,"-9,4 %","81,6 %","53,3 %","48,1 %",101 €,"0,4 %","89,5 %",2 710,2 703,7,"0,3 %",A-ENTRETIEN,4 074,3 094,979 €,"31,7 %","7,6 %","9,3 %","43,6 %","47,5 %",305 €,"20,7 %","90,4 %",330,249,81,"32,5 %",AA-PEINTURE ET REPAR.CARROSSERIE,"189,48","196,19",-7 €,"-3,4 %","0,4 %","4,7 %","42,4 %","46,8 %",-11 €,"-12,4 %",17,17,0,"0,0 %",AA13-PEINTURE : AEROSOL,"140,77","165,76",-25 €,"-15,1 %","3,5 %","35,9 %","46,5 %",-27 €,"-34,6 %",11,13,-2,"-15,4 %",157943,FILMSPRAY JTE NOIR BR 400ML,"14,99",,15 €,-,"12,5 %",-,2 €,-,1,,1,-
43 931,48 478,-4 547 €,"-9,4 %","81,6 %","53,3 %","48,1 %",101 €,"0,4 %","89,5 %",2 710,2 703,7,"0,3 %",A-ENTRETIEN,4 074,3 094,979 €,"31,7 %","7,6 %","9,3 %","43,6 %","47,5 %",305 €,"20,7 %","90,4 %",330,249,81,"32,5 %",AA-PEINTURE ET REPAR.CARROSSERIE,"189,48","196,19",-7 €,"-3,4 %","0,4 %","4,7 %","42,4 %","46,8 %",-11 €,"-12,4 %",17,17,0,"0,0 %",AA13-PEINTURE : AEROSOL,"140,77","165,76",-25 €,"-15,1 %","3,5 %","35,9 %","46,5 %",-27 €,"-34,6 %",11,13,-2,"-15,4 %",714073,AERO 500ML NOIR BRILLANT MOTIP,"32,49","70,80",-38 €,"-54,1 %","35,9 %","51,6 %",-25 €,"-68,1 %",3,5,-2,"-40,0 %"
