LIBELLEMAGASIN,textbox17,textbox27,textbox36,textbox34,textbox61,textbox29,marque
ANNECY SEYNOD,15/06/2026,21/06/2026,16/06/2025,22/06/2025,Total centre,Tous les fournisseurs,Toutes les marques

textbox48,textbox49,textbox60,textbox50,textbox94,textbox51,textbox52,textbox53,textbox54,textbox108,textbox62,textbox67,textbox76,textbox80,codeFamille,CAHT_n_4,CAHT_n_1_1,CAHT_n_5,textbox57,codeGamme,textbox85,MARGE_n,MARGE_n_1,MARGE_n_3,MARGE_n_5,textbox109,textbox63,textbox68,textbox83,textbox84,codeSousFamille,CAHT_n_3,CAHT_n_1_2,textbox32,textbox24,textbox100,textbox86,textbox25,textbox9,textbox4,textbox38,textbox64,textbox69,textbox87,textbox88,codeGamme_1,CAHT_n_2,CAHT_n_1_3,textbox35,textbox31,textbox89,textbox41,textbox11,textbox14,textbox39,textbox65,textbox75,textbox91,textbox92,codeArticle,nomProduit,CAHT_n,CAHT_n_1,CAHT_n_6,textbox7,MARGE_n_2,MARGE_n_1_1,MARGE_n_4,MARGE_n_6,textbox66,textbox79,textbox102,textbox103
46 447,41 835,4 612 €,"11,0 %","100,7 %","55,6 %","49,4 %",5 128 €,"24,8 %","116,0 %",2 797,2 520,277,"11,0 %",A-ENTRETIEN,5 353,4 328,1 025 €,"23,7 %","11,6 %","11,5 %","40,9 %","44,2 %",273 €,"14,3 %","141,4 %",365,365,0,"0,0 %",AA-PEINTURE ET REPAR.CARROSSERIE,"173,25","264,86",-92 €,"-34,6 %","0,4 %","3,2 %","46,9 %","49,5 %",-50 €,"-38,1 %",14,24,-10,"-41,7 %",AA02-MATERIEL DE PREPARATION,"9,16","35,81",-27 €,"-74,4 %","0,2 %","53,3 %","51,9 %",-14 €,"-73,8 %",2,7,-5,"-71,4 %",103059,ABRASIF EAU P400 X4,"4,58","13,74",-9 €,"-66,7 %","53,3 %","53,3 %",-5 €,"-66,7 %",1,3,-2,"-66,7 %"
46 447,41 835,4 612 €,"11,0 %","100,7 %","55,6 %","49,4 %",5 128 €,"24,8 %","116,0 %",2 797,2 520,277,"11,0 %",A-ENTRETIEN,5 353,4 328,1 025 €,"23,7 %","11,6 %","11,5 %","40,9 %","44,2 %",273 €,"14,3 %","141,4 %",365,365,0,"0,0 %",AA-PEINTURE ET REPAR.CARROSSERIE,"173,25","264,86",-92 €,"-34,6 %","0,4 %","3,2 %","46,9 %","49,5 %",-50 €,"-38,1 %",14,24,-10,"-41,7 %",AA02-MATERIEL DE PREPARATION,"9,16","35,81",-27 €,"-74,4 %","0,2 %","53,3 %","51,9 %",-14 €,"-73,8 %",2,7,-5,"-71,4 %",103061,ABRASIF EAU P1000 X4,"4,58",,5 €,-,"53,3 %",-,2 €,-,1,,1,-
46 447,41 835,4 612 €,"11,0 %","100,7 %","55,6 %","49,4 %",5 128 €,"24,8 %","116,0 %",2 797,2 520,277,"11,0 %",A-ENTRETIEN,5 353,4 328,1 025 €,"23,7 %","11,6 %","11,5 %","40,9 %","44,2 %",273 €,"14,3 %","141,4 %",365,365,0,"0,0 %",AA-PEINTURE ET REPAR.CARROSSERIE,"173,25","264,86",-92 €,"-34,6 %","0,4 %","3,2 %","46,9 %","49,5 %",-50 €,"-38,1 %",14,24,-10,"-41,7 %",AA02-MATERIEL DE PREPARATION,"9,16","35,81",-27 €,"-74,4 %","0,2 %","53,3 %","51,9 %",-14 €,"-73,8 %",2,7,-5,"-71,4 %",103063,COUTEAU A MASTIQUER X4,,"8,33",-8 €,"-100,0 %",-,"49,0 %",-4 €,"-100,0 %",,1,-1,"-100,0 %"
46 447,41 835,4 612 €,"11,0 %","100,7 %","55,6 %","49,4 %",5 128 €,"24,8 %","116,0 %",2 797,2 520,277,"11,0 %",A-ENTRETIEN,5 353,4 328,1 025 €,"23,7 %","11,6 %","11,5 %","40,9 %","44,2 %",273 €,"14,3 %","141,4 %",365,365,0,"0,0 %",AA-PEINTURE ET REPAR.CARROSSERIE,"173,25","264,86",-92 €,"-34,6 %","0,4 %","3,2 %","46,9 %","49,5 %",-50 €,"-38,1 %",14,24,-10,"-41,7 %",AA13-PEINTURE : AEROSOL,"138,28","118,28",20 €,"16,9 %","2,6 %","44,1 %","37,7 %",16 €,"36,8 %",9,9,0,"0,0 %",135519,AERO 500ML 04052 PR.NOIR MOTIP,"14,16",,14 €,-,"50,3 %",-,7 €,-,1,,1,-
46 447,41 835,4 612 €,"11,0 %","100,7 %","55,6 %","49,4 %",5 128 €,"24,8 %","116,0 %",2 797,2 520,277,"11,0 %",A-ENTRETIEN,5 353,4 328,1 025 €,"23,7 %","11,6 %","11,5 %","40,9 %","44,2 %",273 €,"14,3 %","141,4 %",365,365,0,"0,0 %",AA-PEINTURE ET REPAR.CARROSSERIE,"173,25","264,86",-92 €,"-34,6 %","0,4 %","3,2 %","46,9 %","49,5 %",-50 €,"-38,1 %",14,24,-10,"-41,7 %",AA13-PEINTURE : AEROSOL,"138,28","118,28",20 €,"16,9 %","2,6 %","44,1 %","37,7 %",16 €,"36,8 %",9,9,0,"0,0 %",157942,FILMSPRAY JTE NOIR MAT 400ML,,"14,99",-15 €,"-100,0 %",-,"13,5 %",-2 €,"-100,0 %",,1,-1,"-100,0 %"
46 447,41 835,4 612 €,"11,0 %","100,7 %","55,6 %","49,4 %",5 128 €,"24,8 %","116,0 %",2 797,2 520,277,"11,0 %",A-ENTRETIEN,5 353,4 328,1 025 €,"23,7 %","11,6 %","11,5 %","40,9 %","44,2 %",273 €,"14,3 %","141,4 %",365,365,0,"0,0 %",AA-PEINTURE ET REPAR.CARROSSERIE,"173,25","264,86",-92 €,"-34,6 %","0,4 %","3,2 %","46,9 %","49,5 %",-50 €,"-38,1 %",14,24,-10,"-41,7 %",AA13-PEINTURE : AEROSOL,"138,28","118,28",20 €,"16,9 %","2,6 %","44,1 %","37,7 %",16 €,"36,8 %",9,9,0,"0,0 %",481218,AERO 160ML VERNIS 2K MOTIP,"29,99",,30 €,-,"34,6 %",-,10 €,-,1,,1,-
46 447,41 835,4 612 €,"11,0 %","100,7 %","55,6 %","49,4 %",5 128 €,"24,8 %","116,0 %",2 797,2 520,277,"11,0 %",A-ENTRETIEN,5 353,4 328,1 025 €,"23,7 %","11,6 %","11,5 %","40,9 %","44,2 %",273 €,"14,3 %","141,4 %",365,365,0,"0,0 %",AA-PEINTURE ET REPAR.CARROSSERIE,"173,25","264,86",-92 €,"-34,6 %","0,4 %","3,2 %","46,9 %","49,5 %",-50 €,"-38,1 %",14,24,-10,"-41,7 %",AA13-PEINTURE : AEROSOL,"138,28","118,28",20 €,"16,9 %","2,6 %","44,1 %","37,7 %",16 €,"36,8 %",9,9,0,"0,0 %",481221,AERO 400ML ENDUIT GARNISSANT,"26,66",,27 €,-,"37,4 %",-,10 €,-,2,,2,-
46 447,41 835,4 612 €,"11,0 %","100,7 %","55,6 %","49,4 %",5 128 €,"24,8 %","116,0 %",2 797,2 520,277,"11,0 %",A-ENTRETIEN,5 353,4 328,1 025 €,"23,7 %","11,6 %","11,5 %","40,9 %","44,2 %",273 €,"14,3 %","141,4 %",365,365,0,"0,0 %",AA-PEINTURE ET REPAR.CARROSSERIE,"173,25","264,86",-92 €,"-34,6 %","0,4 %","3,2 %","46,9 %","49,5 %",-50 €,"-38,1 %",14,24,-10,"-41,7 %",AA13-PEINTURE : AEROSOL,"138,28","118,28",20 €,"16,9 %","2,6 %","44,1 %","37,7 %",16 €,"36,8 %",9,9,0,"0,0 %",714072,AERO 500ML APPRET GRIS MOTIP,"14,16",,14 €,-,"51,1 %",-,7 €,-,1,,1,-
46 447,41 835,4 612 €,"11,0 %","100,7 %","55,6 %","49,4 %",5 128 €,"24,8 %","116,0 %",2 797,2 520,277,"11,0 %",A-ENTRETIEN,5 353,4 328,1 025 €,"23,7 %","11,6 %","11,5 %","40,9 %","44,2 %",273 €,"14,3 %","141,4 %",365,365,0,"0,0 %",AA-PEINTURE ET REPAR.CARROSSERIE,"173,25","264,86",-92 €,"-34,6 %","0,4 %","3,2 %","46,9 %","49,5 %",-50 €,"-38,1 %",14,24,-10,"-41,7 %",AA13-PEINTURE : AEROSOL,"138,28","118,28",20 €,"16,9 %","2,6 %","44,1 %","37,7 %",16 €,"36,8 %",9,9,0,"0,0 %",714077,AERO 500ML ARGENT JANTES MOTIP,,"14,16",-14 €,"-100,0 %",-,"51,6 %",-7 €,"-100,0 %",,1,-1,"-100,0 %"
46 447,41 835,4 612 €,"11,0 %","100,7 %","55,6 %","49,4 %",5 128 €,"24,8 %","116,0 %",2 797,2 520,277,"11,0 %",A-ENTRETIEN,5 353,4 328,1 025 €,"23,7 %","11,6 %","11,5 %","40,9 %","44,2 %",273 €,"14,3 %","141,4 %",365,365,0,"0,0 %",AA-PEINTURE ET REPAR.CARROSSERIE,"173,25","264,86",-92 €,"-34,6 %","0,4 %","3,2 %","46,9 %","49,5 %",-50 €,"-38,1 %",14,24,-10,"-41,7 %",AA13-PEINTURE : AEROSOL,"138,28","118,28",20 €,"16,9 %","2,6 %","44,1 %","37,7 %",16 €,"36,8 %",9,9,0,"0,0 %",714078,AERO 500ML VERNIS BRILLANT MOT,"28,32","14,16",14 €,"100,0 %","51,3 %","51,6 %",7 €,"98,9 %",2,1,1,"100,0 %"
